requester,preloaded,url,timestamp,connectivity,rumSpeedIndex
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T20:52:02+00:00,cable,195
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T20:55:02+00:00,dsl20,165
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T20:58:02+00:00,3g,474
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T21:02:02+00:00,cable,197
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T21:05:03+00:00,dsl20,162
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T21:08:02+00:00,3g,466
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T21:12:02+00:00,cable,193
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T21:15:02+00:00,dsl20,162
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T21:18:03+00:00,3g,461
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T21:22:02+00:00,cable,192
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T21:25:02+00:00,dsl20,160
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T21:28:03+00:00,3g,457
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T21:32:02+00:00,cable,186
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T21:35:02+00:00,dsl20,166
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T21:38:03+00:00,3g,487
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T21:42:02+00:00,cable,194
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T21:45:02+00:00,dsl20,160
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T21:48:02+00:00,3g,462
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T21:52:02+00:00,cable,186
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T21:55:02+00:00,dsl20,165
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T21:58:02+00:00,3g,460
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T22:02:02+00:00,cable,196
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T22:05:02+00:00,dsl20,171
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T22:08:02+00:00,3g,484
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T22:12:02+00:00,cable,199
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T22:15:02+00:00,dsl20,171
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T22:18:02+00:00,3g,472
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T22:22:02+00:00,cable,209
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T22:25:02+00:00,dsl20,162
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T22:28:03+00:00,3g,452
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T22:32:03+00:00,cable,184
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T22:35:02+00:00,dsl20,165
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T22:38:02+00:00,3g,472
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T22:42:02+00:00,cable,189
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T22:45:02+00:00,dsl20,169
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T22:48:03+00:00,3g,467
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T22:52:02+00:00,cable,188
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T22:55:02+00:00,dsl20,156
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T22:58:03+00:00,3g,464
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T23:02:02+00:00,cable,188
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T23:05:02+00:00,dsl20,174
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T23:08:02+00:00,3g,474
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T23:12:02+00:00,cable,211
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T23:15:02+00:00,dsl20,172
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T23:18:02+00:00,3g,478
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T23:22:02+00:00,cable,217
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T23:25:02+00:00,dsl20,180
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T23:28:02+00:00,3g,487
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T23:32:02+00:00,cable,211
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T23:35:02+00:00,dsl20,165
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T23:38:02+00:00,3g,482
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T23:42:02+00:00,cable,196
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T23:45:02+00:00,dsl20,166
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T23:48:02+00:00,3g,464
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T23:52:02+00:00,cable,193
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T23:55:02+00:00,dsl20,176
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T23:58:03+00:00,3g,466
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T00:02:02+00:00,cable,195
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T00:05:02+00:00,dsl20,169
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T00:08:02+00:00,3g,469
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T00:12:02+00:00,cable,196
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T00:15:03+00:00,dsl20,174
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T00:18:02+00:00,3g,470
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T00:22:02+00:00,cable,201
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T00:25:02+00:00,dsl20,194
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T00:28:02+00:00,3g,458
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T00:32:02+00:00,cable,199
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T00:35:02+00:00,dsl20,175
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T00:38:03+00:00,3g,474
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T00:42:02+00:00,cable,189
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T00:45:03+00:00,dsl20,172
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T00:48:03+00:00,3g,485
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T00:52:02+00:00,cable,195
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T00:55:02+00:00,dsl20,176
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T00:58:02+00:00,3g,463
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T01:02:03+00:00,cable,392
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T01:05:03+00:00,dsl20,221
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T01:08:02+00:00,3g,480
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T01:12:03+00:00,cable,203
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T01:15:02+00:00,dsl20,159
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T01:18:02+00:00,3g,462
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T01:22:02+00:00,cable,223
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T01:25:02+00:00,dsl20,179
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T01:28:02+00:00,3g,466
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T01:32:03+00:00,cable,210
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T01:35:02+00:00,dsl20,167
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T01:38:02+00:00,3g,485
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T01:42:02+00:00,cable,202
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T01:45:02+00:00,dsl20,175
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T01:48:02+00:00,3g,475
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T01:52:02+00:00,cable,199
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T01:55:02+00:00,dsl20,180
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T01:58:02+00:00,3g,471
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T02:02:02+00:00,cable,195
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T02:05:02+00:00,dsl20,170
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T02:08:02+00:00,3g,469
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T02:12:02+00:00,cable,194
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T02:15:02+00:00,dsl20,167
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T02:18:02+00:00,3g,473
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T02:22:03+00:00,cable,199
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T02:25:02+00:00,dsl20,164
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-04T02:28:02+00:00,3g,471
