timestamp,rumSpeedIndex,speedIndex,group
2017-08-14T13:08:26+00:00,18856,9858,1st-site-visit of https://home.cern @ 3g
2017-08-14T13:24:46+00:00,17724,10073,1st-site-visit of https://home.cern @ 3g
2017-08-14T13:38:47+00:00,19950,11638,1st-site-visit of https://home.cern @ 3g
2017-08-14T13:54:59+00:00,19642,12772,1st-site-visit of https://home.cern @ 3g
2017-08-14T14:08:06+00:00,20079,13267,1st-site-visit of https://home.cern @ 3g
2017-08-14T14:24:55+00:00,20940,9984,1st-site-visit of https://home.cern @ 3g
2017-08-14T14:39:52+00:00,19090,9726,1st-site-visit of https://home.cern @ 3g
2017-08-14T14:55:45+00:00,20360,10414,1st-site-visit of https://home.cern @ 3g
2017-08-14T15:09:04+00:00,19589,9986,1st-site-visit of https://home.cern @ 3g
2017-08-14T15:24:06+00:00,19934,10336,1st-site-visit of https://home.cern @ 3g
2017-08-14T15:52:03+00:00,20506,10273,1st-site-visit of https://home.cern @ 3g
2017-08-14T16:04:16+00:00,17594,14221,1st-site-visit of https://home.cern @ 3g
2017-08-14T16:22:02+00:00,18887,8734,1st-site-visit of https://home.cern @ 3g
2017-08-14T16:37:12+00:00,18658,8781,1st-site-visit of https://home.cern @ 3g
2017-08-14T16:57:07+00:00,20912,11011,1st-site-visit of https://home.cern @ 3g
2017-08-14T17:10:27+00:00,20339,10322,1st-site-visit of https://home.cern @ 3g
2017-08-14T17:24:55+00:00,18371,14405,1st-site-visit of https://home.cern @ 3g
2017-08-14T17:39:37+00:00,21798,11674,1st-site-visit of https://home.cern @ 3g
2017-08-14T17:55:54+00:00,21294,12717,1st-site-visit of https://home.cern @ 3g
2017-08-14T18:07:48+00:00,19930,13684,1st-site-visit of https://home.cern @ 3g
2017-08-14T18:23:38+00:00,20752,9705,1st-site-visit of https://home.cern @ 3g
2017-08-14T18:38:28+00:00,18353,8147,1st-site-visit of https://home.cern @ 3g
2017-08-14T19:03:22+00:00,18822,9796,1st-site-visit of https://home.cern @ 3g
2017-08-14T19:22:09+00:00,17800,9873,1st-site-visit of https://home.cern @ 3g
2017-08-14T19:36:21+00:00,18063,10405,1st-site-visit of https://home.cern @ 3g
2017-08-14T19:52:39+00:00,17740,8704,1st-site-visit of https://home.cern @ 3g
2017-08-14T20:07:23+00:00,21320,10327,1st-site-visit of https://home.cern @ 3g
2017-08-14T20:24:53+00:00,19201,14398,1st-site-visit of https://home.cern @ 3g
2017-08-14T20:39:38+00:00,20765,13333,1st-site-visit of https://home.cern @ 3g
2017-08-14T20:55:58+00:00,19461,8955,1st-site-visit of https://home.cern @ 3g
2017-08-14T21:13:06+00:00,19874,12990,1st-site-visit of https://home.cern @ 3g
2017-08-14T21:41:13+00:00,24817,12080,1st-site-visit of https://home.cern @ 3g
2017-08-14T21:53:36+00:00,19884,10937,1st-site-visit of https://home.cern @ 3g
2017-08-14T21:58:20+00:00,20441,10265,1st-site-visit of https://home.cern @ 3g
2017-08-14T22:20:39+00:00,18997,9452,1st-site-visit of https://home.cern @ 3g
2017-08-14T22:39:10+00:00,18842,10428,1st-site-visit of https://home.cern @ 3g
2017-08-14T22:55:23+00:00,17279,13933,1st-site-visit of https://home.cern @ 3g
2017-08-14T23:07:07+00:00,19279,14469,1st-site-visit of https://home.cern @ 3g
2017-08-14T23:23:39+00:00,18961,11891,1st-site-visit of https://home.cern @ 3g
2017-08-14T23:37:51+00:00,21245,10031,1st-site-visit of https://home.cern @ 3g
2017-08-14T23:55:01+00:00,19482,10910,1st-site-visit of https://home.cern @ 3g
2017-08-15T00:08:01+00:00,19644,9262,1st-site-visit of https://home.cern @ 3g
2017-08-15T00:23:57+00:00,20081,10218,1st-site-visit of https://home.cern @ 3g
2017-08-15T00:39:36+00:00,18442,15076,1st-site-visit of https://home.cern @ 3g
2017-08-15T00:56:26+00:00,19040,9900,1st-site-visit of https://home.cern @ 3g
2017-08-15T01:09:15+00:00,18704,8053,1st-site-visit of https://home.cern @ 3g
2017-08-15T01:24:35+00:00,21722,10611,1st-site-visit of https://home.cern @ 3g
2017-08-15T01:38:14+00:00,20198,10976,1st-site-visit of https://home.cern @ 3g
2017-08-15T01:54:51+00:00,22600,9289,1st-site-visit of https://home.cern @ 3g
2017-08-15T02:10:18+00:00,20795,9669,1st-site-visit of https://home.cern @ 3g
2017-08-15T02:23:25+00:00,19601,9929,1st-site-visit of https://home.cern @ 3g
2017-08-15T02:37:15+00:00,21479,9614,1st-site-visit of https://home.cern @ 3g
2017-08-15T02:53:50+00:00,20460,7780,1st-site-visit of https://home.cern @ 3g
2017-08-15T03:07:39+00:00,18469,10316,1st-site-visit of https://home.cern @ 3g
2017-08-15T03:25:02+00:00,17990,14197,1st-site-visit of https://home.cern @ 3g
2017-08-15T03:39:54+00:00,21578,10462,1st-site-visit of https://home.cern @ 3g
2017-08-15T03:55:01+00:00,22865,12790,1st-site-visit of https://home.cern @ 3g
2017-08-15T04:08:50+00:00,20510,15192,1st-site-visit of https://home.cern @ 3g
2017-08-15T04:28:12+00:00,19882,12754,1st-site-visit of https://home.cern @ 3g
2017-08-15T04:38:43+00:00,17286,9813,1st-site-visit of https://home.cern @ 3g
2017-08-15T04:54:44+00:00,19406,12567,1st-site-visit of https://home.cern @ 3g
2017-08-15T05:07:50+00:00,18540,14530,1st-site-visit of https://home.cern @ 3g
2017-08-15T05:23:14+00:00,19991,9704,1st-site-visit of https://home.cern @ 3g
2017-08-15T05:37:54+00:00,19644,8905,1st-site-visit of https://home.cern @ 3g
2017-08-15T05:56:22+00:00,19634,9583,1st-site-visit of https://home.cern @ 3g
2017-08-15T06:09:29+00:00,18472,9850,1st-site-visit of https://home.cern @ 3g
2017-08-15T06:25:47+00:00,19611,10844,1st-site-visit of https://home.cern @ 3g
2017-08-15T06:39:52+00:00,19097,9533,1st-site-visit of https://home.cern @ 3g
2017-08-15T06:56:01+00:00,22312,12504,1st-site-visit of https://home.cern @ 3g
2017-08-15T07:08:10+00:00,18509,8832,1st-site-visit of https://home.cern @ 3g
2017-08-15T07:25:16+00:00,21009,10080,1st-site-visit of https://home.cern @ 3g
2017-08-15T07:39:03+00:00,18079,9246,1st-site-visit of https://home.cern @ 3g
2017-08-15T07:42:45+00:00,34201,10012,1st-site-visit of https://home.cern @ 3g
2017-08-15T07:54:43+00:00,23023,7874,1st-site-visit of https://home.cern @ 3g
2017-08-15T08:10:01+00:00,23819,7857,1st-site-visit of https://home.cern @ 3g
2017-08-15T08:24:54+00:00,17272,7779,1st-site-visit of https://home.cern @ 3g
2017-08-15T08:40:57+00:00,18896,7861,1st-site-visit of https://home.cern @ 3g
2017-08-15T08:54:32+00:00,17470,7812,1st-site-visit of https://home.cern @ 3g
2017-08-15T09:10:02+00:00,19195,7830,1st-site-visit of https://home.cern @ 3g
2017-08-15T09:25:10+00:00,18773,8028,1st-site-visit of https://home.cern @ 3g
2017-08-15T09:41:05+00:00,20009,7884,1st-site-visit of https://home.cern @ 3g
2017-08-15T09:54:03+00:00,16650,7843,1st-site-visit of https://home.cern @ 3g
2017-08-15T10:09:54+00:00,23244,7912,1st-site-visit of https://home.cern @ 3g
2017-08-15T10:25:04+00:00,17962,7864,1st-site-visit of https://home.cern @ 3g
2017-08-15T10:41:02+00:00,20002,7831,1st-site-visit of https://home.cern @ 3g
2017-08-15T10:54:00+00:00,18527,7826,1st-site-visit of https://home.cern @ 3g
2017-08-15T11:09:56+00:00,19068,7863,1st-site-visit of https://home.cern @ 3g
2017-08-15T11:25:21+00:00,19074,7817,1st-site-visit of https://home.cern @ 3g
2017-08-15T11:41:20+00:00,18229,7822,1st-site-visit of https://home.cern @ 3g
2017-08-15T11:53:57+00:00,21304,7847,1st-site-visit of https://home.cern @ 3g
2017-08-15T12:10:09+00:00,19105,8033,1st-site-visit of https://home.cern @ 3g
2017-08-15T12:25:20+00:00,19768,7833,1st-site-visit of https://home.cern @ 3g
2017-08-15T12:41:03+00:00,18253,7842,1st-site-visit of https://home.cern @ 3g
2017-08-15T12:54:37+00:00,19292,7937,1st-site-visit of https://home.cern @ 3g
2017-08-15T13:10:03+00:00,18536,7809,1st-site-visit of https://home.cern @ 3g
2017-08-15T13:25:27+00:00,23709,7835,1st-site-visit of https://home.cern @ 3g
2017-08-15T13:41:23+00:00,19090,7779,1st-site-visit of https://home.cern @ 3g
2017-08-15T13:53:59+00:00,23346,7853,1st-site-visit of https://home.cern @ 3g
2017-08-15T14:10:10+00:00,17142,7836,1st-site-visit of https://home.cern @ 3g
2017-08-15T14:25:25+00:00,19910,7819,1st-site-visit of https://home.cern @ 3g
2017-08-15T14:40:56+00:00,19111,8035,1st-site-visit of https://home.cern @ 3g
2017-08-15T14:54:17+00:00,19293,7913,1st-site-visit of https://home.cern @ 3g
2017-08-15T15:10:23+00:00,19287,7883,1st-site-visit of https://home.cern @ 3g
2017-08-15T15:24:47+00:00,18986,7854,1st-site-visit of https://home.cern @ 3g
2017-08-15T15:41:03+00:00,17520,7887,1st-site-visit of https://home.cern @ 3g
2017-08-15T15:53:57+00:00,18465,7826,1st-site-visit of https://home.cern @ 3g
2017-08-15T16:09:50+00:00,19063,8049,1st-site-visit of https://home.cern @ 3g
2017-08-15T16:24:57+00:00,19804,7828,1st-site-visit of https://home.cern @ 3g
2017-08-15T16:40:56+00:00,18751,7787,1st-site-visit of https://home.cern @ 3g
2017-08-15T16:54:26+00:00,16761,7832,1st-site-visit of https://home.cern @ 3g
2017-08-15T17:10:23+00:00,16901,7831,1st-site-visit of https://home.cern @ 3g
2017-08-15T17:25:02+00:00,17661,7943,1st-site-visit of https://home.cern @ 3g
2017-08-15T17:40:51+00:00,17840,7855,1st-site-visit of https://home.cern @ 3g
2017-08-15T17:54:07+00:00,17398,7847,1st-site-visit of https://home.cern @ 3g
2017-08-15T18:10:29+00:00,19514,7859,1st-site-visit of https://home.cern @ 3g
2017-08-15T18:24:52+00:00,18429,7891,1st-site-visit of https://home.cern @ 3g
2017-08-15T18:41:39+00:00,20610,7962,1st-site-visit of https://home.cern @ 3g
2017-08-15T18:53:55+00:00,19038,8105,1st-site-visit of https://home.cern @ 3g
2017-08-15T19:11:37+00:00,19974,7841,1st-site-visit of https://home.cern @ 3g
2017-08-13T14:31:16+00:00,4294,4395,1st-site-visit of https://stage.beschleunigerphysik.de/ @ 3g
2017-08-13T14:47:52+00:00,4346,4436,1st-site-visit of https://stage.beschleunigerphysik.de/ @ 3g
2017-08-13T15:04:09+00:00,4563,4638,1st-site-visit of https://stage.beschleunigerphysik.de/ @ 3g
2017-08-13T15:20:06+00:00,4295,4490,1st-site-visit of https://stage.beschleunigerphysik.de/ @ 3g
2017-08-13T15:39:43+00:00,4217,4431,1st-site-visit of https://stage.beschleunigerphysik.de/ @ 3g
2017-08-13T15:54:48+00:00,4424,4545,1st-site-visit of https://stage.beschleunigerphysik.de/ @ 3g
2017-08-13T16:06:32+00:00,4401,4455,1st-site-visit of https://stage.beschleunigerphysik.de/ @ 3g
2017-08-13T16:30:20+00:00,5186,5248,1st-site-visit of https://stage.beschleunigerphysik.de/ @ 3g
2017-08-13T16:45:43+00:00,4238,4315,1st-site-visit of https://stage.beschleunigerphysik.de/ @ 3g
2017-08-13T17:03:14+00:00,4458,4613,1st-site-visit of https://stage.beschleunigerphysik.de/ @ 3g
2017-08-13T17:16:56+00:00,4318,4477,1st-site-visit of https://stage.beschleunigerphysik.de/ @ 3g
2017-08-13T17:33:18+00:00,4255,4349,1st-site-visit of https://stage.beschleunigerphysik.de/ @ 3g
2017-08-13T17:47:35+00:00,4562,4600,1st-site-visit of https://stage.beschleunigerphysik.de/ @ 3g
2017-08-13T18:00:53+00:00,4170,4231,1st-site-visit of https://stage.beschleunigerphysik.de/ @ 3g
2017-08-13T18:28:20+00:00,4677,4761,1st-site-visit of https://stage.beschleunigerphysik.de/ @ 3g
2017-08-13T18:43:45+00:00,5425,5468,1st-site-visit of https://stage.beschleunigerphysik.de/ @ 3g
2017-08-13T19:17:42+00:00,4177,4350,1st-site-visit of https://stage.beschleunigerphysik.de/ @ 3g
2017-08-13T19:32:49+00:00,4377,4500,1st-site-visit of https://stage.beschleunigerphysik.de/ @ 3g
2017-08-13T19:47:38+00:00,4800,4867,1st-site-visit of https://stage.beschleunigerphysik.de/ @ 3g
2017-08-13T20:03:52+00:00,4253,4336,1st-site-visit of https://stage.beschleunigerphysik.de/ @ 3g
2017-08-13T20:16:56+00:00,4298,4472,1st-site-visit of https://stage.beschleunigerphysik.de/ @ 3g
2017-08-13T20:33:55+00:00,4327,4402,1st-site-visit of https://stage.beschleunigerphysik.de/ @ 3g
